mRNA,microRNA,weight,edge_color
PSPH,hsa-mir-25,0.488927666,red
TRIB3,hsa-mir-132,0.605006608,green
FANCE,hsa-mir-940,0.587911736,red
ETS1,hsa-mir-200c,0.576695818,red
IPO9,hsa-mir-589,0.644274309,green
C6orf165,hsa-mir-889,0.674256139,green
NFXL1,hsa-mir-1251,0.579622398,red
FAM122C,hsa-mir-144,0.444548778,green
GPIHBP1,hsa-mir-370,0.559022155,red
C1orf106,hsa-mir-96,0.481190555,red
TNNI1,hsa-mir-96,0.626192301,red
PLCG1,hsa-mir-3690,0.540577982,green
KLHL21,hsa-mir-22,0.53914456,red
CCNB3,hsa-mir-451,0.465088969,green
CDC14A,hsa-mir-107,0.494184147,green
BTBD7,hsa-mir-223,0.61076814,green
PHF20L1,hsa-mir-21,0.444189338,green
C18orf25,hsa-mir-10b,0.475960298,red
RABEP2,hsa-mir-328,0.55668907,red
LYN,hsa-mir-217,0.44296685,red
CREB5,hsa-mir-494,0.510484023,green
FAM109A,hsa-mir-370,0.520361866,green
SOX17,hsa-mir-134,0.462951146,red
TMEM173,hsa-mir-504,0.560322847,green
MMP24,hsa-mir-889,0.495416444,green
UCK2,hsa-mir-17,0.482750731,red
CNTN4,hsa-mir-889,0.460665823,green
ABLIM1,hsa-mir-143,0.446977588,green
DVL2,hsa-mir-221,0.540450093,green
GPR172B,hsa-mir-32,0.600223498,green
EIF5A2,hsa-mir-224,0.465896629,red
C9orf170,hsa-mir-548v,0.525048284,green
DGKZ,hsa-mir-17,0.514674735,red
ENOX1,hsa-mir-1976,0.457364782,green
FUT3,hsa-mir-589,0.572142492,red
RMI1,hsa-mir-888,0.502341664,red
FAM116A,hsa-mir-98,0.469445302,green
FAM49B,hsa-mir-217,0.443995714,red
CRY2,hsa-mir-221,0.469015473,red
XK,hsa-mir-183,0.443737708,red
B3GALT5,hsa-mir-221,0.525252601,green
GSN,hsa-mir-891a,0.474437285,red
ZDHHC1,hsa-mir-106b,0.479144973,green
NFATC4,hsa-mir-34a,0.542562639,green
LRRC56,hsa-mir-653,0.522513029,red
ATM,hsa-mir-150,0.468292522,green
DPYSL2,hsa-mir-217,0.489645641,red
TWSG1,hsa-mir-625,0.638178455,green
DPH1,hsa-mir-581,0.57406283,green
ZNF35,hsa-mir-21,0.519661576,green
RUNDC1,hsa-mir-21,0.492402838,red
RFC3,hsa-mir-664,0.470714437,green
PHACTR2,hsa-mir-500a,0.548995358,red
AMOTL1,hsa-mir-802,0.468434037,green
PHACTR2,hsa-mir-21,0.664909496,green
C6orf174,hsa-mir-495,0.481677184,green
NEK11,hsa-mir-224,0.544258269,green
YBX1,hsa-mir-31,0.456448922,green
HPGD,hsa-mir-141,0.670280812,red
MKRN1,hsa-mir-17,0.448004104,green
WDR1,hsa-mir-744,0.546740015,red
RP2,hsa-mir-363,0.455500402,red
C12orf75,hsa-mir-452,0.469199435,green
SLC15A4,hsa-mir-141,0.569120127,green
TPM1,hsa-mir-141,0.461438833,green
UPK1B,hsa-mir-421,0.521529101,green
KYNU,hsa-mir-221,0.646124711,red
IFI6,hsa-mir-1251,0.568278711,red
NUDT16,hsa-mir-653,0.615259448,green
SLC7A4,hsa-mir-99b,0.500276901,red
CDC42SE1,hsa-mir-877,0.544491539,red
SPIN1,hsa-mir-421,0.481649816,green
