mRNA,microRNA,weight,edge_color
PAK2,hsa-mir-221,0.777252084,red
CEBPZ,hsa-mir-335,0.733393075,red
CCDC50,hsa-mir-206,0.774697637,red
ARL8B,hsa-mir-203,0.824087589,red
FERMT2,hsa-mir-345,0.73883412,red
RFTN1,hsa-mir-424,0.805950243,red
CYB561,hsa-mir-18a,0.267330822,green
ZDHHC1,hsa-mir-106b,0.217236104,green
YIPF4,hsa-mir-1301,0.823859278,red
RABEP1,hsa-mir-3909,0.80576469,red
ADCY1,hsa-mir-488,0.84285933,red
FMNL3,hsa-mir-378,0.746157509,red
CD2AP,hsa-mir-182,0.26304406,green
CENPL,hsa-mir-106b,0.731249865,red
FMOD,hsa-mir-345,0.221828083,green
MRAS,hsa-mir-30a,0.83601646,red
PKN3,hsa-mir-625,0.758189822,red
PCDHGA11,hsa-mir-625,0.770377638,red
OBSCN,hsa-mir-34a,0.216352706,green
NT5C2,hsa-mir-186,0.229624279,green
BZRAP1,hsa-mir-3191,0.237523511,green
TCP10L,hsa-mir-3684,0.248235649,green
ELK3,hsa-mir-488,0.781289099,red
MZF1,hsa-mir-3127,0.287147924,green
PDS5B,hsa-mir-130b,0.745677864,red
BTBD10,hsa-mir-130b,0.780678965,red
DPH3,hsa-mir-17,0.731489923,red
UBE2V2,hsa-mir-570,0.883832997,red
MTMR9,hsa-mir-130b,0.807727237,red
MAP3K5,hsa-mir-1468,0.254744322,green
RPP14,hsa-mir-106b,0.871012301,red
SLC22A23,hsa-mir-30a,0.266420775,green
EIF5A2,hsa-mir-766,0.759701664,red
RABGAP1,hsa-mir-424,0.747542771,red
STK38,hsa-mir-590,0.750333774,red
SCAMP2,hsa-mir-106b,0.23033448,green
PCDHGB7,hsa-mir-203,0.85864707,red
SNTB2,hsa-mir-1275,0.762139306,red
CELSR1,hsa-mir-182,0.228354651,green
MRE11A,hsa-mir-106b,0.782907147,red
PHLDB2,hsa-mir-592,0.783907485,red
LRRFIP1,hsa-mir-192,0.776476947,red
NAP1L3,hsa-mir-18a,0.800997078,red
DUSP3,hsa-mir-561,0.792195414,red
CARD8,hsa-mir-424,0.779179128,red
TCF4,hsa-mir-424,0.779703556,red
C6orf145,hsa-mir-503,0.803397033,red
RSPO4,hsa-mir-1266,0.252409407,green
ITSN1,hsa-mir-551a,0.79142026,red
ITSN1,hsa-mir-130a,0.774536115,red
TNFSF13,hsa-mir-106b,0.233796137,green
KIAA0947,hsa-mir-106b,0.822632951,red
SCAMP4,hsa-mir-106b,0.29969891,green
BVES,hsa-mir-130a,0.733028026,red
HOXA11,hsa-mir-484,0.831544956,red
MAN1A1,hsa-mir-203,0.772601947,red
FYCO1,hsa-mir-203,0.820614923,red
STK4,hsa-mir-222,0.772960478,red
DEGS1,hsa-mir-561,0.774039249,red
UBXN6,hsa-mir-760,0.229302094,green
TMEM97,hsa-mir-664,0.233650401,green
PMM1,hsa-mir-1301,0.314997165,green
FBXL7,hsa-mir-488,0.754363827,red
KALRN,hsa-mir-181c,0.786109552,red
MARCKSL1,hsa-mir-193b,0.218092368,green
GM2A,hsa-mir-3652,0.815664948,red
SNRK,hsa-mir-2110,0.804005167,red
IGF2BP2,hsa-mir-375,0.254621039,green
ITPR3,hsa-mir-484,0.231238591,green
KLHDC8B,hsa-let-7b,0.244642502,green
REPIN1,hsa-mir-130a,0.216501592,green
KLHL29,hsa-mir-592,0.823702642,red
CNDP2,hsa-mir-183,0.230835217,green
PDE7B,hsa-mir-145,0.736827837,red
SPPL2B,hsa-mir-551a,0.224170709,green
DNAJC24,hsa-mir-766,0.765016641,red
ARSD,hsa-mir-551a,0.285410875,green
ZNF282,hsa-mir-31,0.227161127,green
CCDC8,hsa-mir-548v,0.25592765,green
ADAM23,hsa-mir-592,0.764206836,red
RFX5,hsa-mir-193a,0.746614858,red
ATP9A,hsa-mir-183,0.229617696,green
CIRBP,hsa-mir-616,0.263280114,green
STK40,hsa-mir-195,0.229429627,green
EPN3,hsa-mir-134,0.217373049,green
RAP2A,hsa-mir-181c,0.806223582,red
IGF2BP2,hsa-mir-1266,0.235681238,green
OPA1,hsa-mir-760,0.733937566,red
AGBL4,hsa-mir-1266,0.227387939,green
DGKA,hsa-mir-190b,0.770041298,red
PHLDB2,hsa-mir-203,0.826485177,red
PPP2R5B,hsa-mir-31,0.734395573,red
CFL2,hsa-mir-301a,0.81002269,red
DDX58,hsa-mir-222,0.757099317,red
ST6GALNAC3,hsa-mir-505,0.763901728,red
ERBB3,hsa-mir-130b,0.227486982,green
CCDC43,hsa-mir-182,0.232920319,green
