mRNA,microRNA,weight,edge_color
RAB11FIP3,hsa-mir-378,0.811105901,green
ARHGAP29,hsa-mir-26b,0.55490936,red
PNPLA3,hsa-mir-132,0.847319874,red
CUTC,hsa-mir-616,0.555449859,red
TXN,hsa-let-7i,0.541173794,red
TMUB2,hsa-mir-193b,0.553212443,red
CDNF,hsa-mir-223,0.601033904,red
CPSF4,hsa-mir-891b,0.72485689,green
GART,hsa-mir-195,0.562923535,red
TTLL5,hsa-mir-1251,0.617158588,red
SNRNP27,hsa-mir-203,0.55839699,green
PANX2,hsa-mir-1266,0.60810563,red
DNM3,hsa-mir-95,0.704746399,red
IL1RAP,hsa-mir-935,0.609518824,red
ATXN7L1,hsa-mir-589,0.564329074,red
YAF2,hsa-mir-940,0.557717259,green
MUS81,hsa-mir-345,0.587721874,red
IL11RA,hsa-mir-203,0.688759042,green
UGT1A6,hsa-mir-181c,0.617117941,red
COIL,hsa-mir-186,0.540409987,red
OTUD7A,hsa-mir-616,0.572355519,green
ZNF620,hsa-mir-1251,0.572083914,red
RGL2,hsa-mir-98,0.661373632,red
RB1,hsa-mir-203,0.779487132,green
ABT1,hsa-mir-197,0.587240224,red
MYEF2,hsa-mir-132,0.606642847,green
PPP1R3F,hsa-mir-653,0.556919886,red
CARD6,hsa-mir-891b,0.591595275,red
ERLIN1,hsa-mir-19a,0.617136081,red
MYO3B,hsa-mir-1976,0.569741168,red
NUDT16,hsa-mir-1976,0.552843251,green
RASGRF1,hsa-mir-31,0.563044614,red
MFSD11,hsa-mir-1307,0.538747428,red
PDGFC,hsa-mir-31,0.687957235,red
PHF17,hsa-mir-186,0.565300722,green
RSAD1,hsa-mir-141,0.548428007,green
SIKE1,hsa-mir-186,0.62674694,red
DMC1,hsa-mir-378,0.586672529,red
GABRG1,hsa-mir-181c,0.563826559,red
UBQLN4,hsa-mir-378,0.544381223,red
KIAA0247,hsa-mir-130b,0.538514809,green
PXMP2,hsa-mir-181c,0.658074185,red
WDR52,hsa-mir-378,0.598822406,red
HECTD2,hsa-mir-424,0.537523971,red
MCF2L,hsa-mir-892a,0.535085641,red
KIAA0513,hsa-mir-940,0.642436728,red
AGPAT4,hsa-mir-98,0.54001323,red
METTL8,hsa-mir-132,0.759582067,red
TRIM45,hsa-mir-377,0.644890788,red
TSLP,hsa-mir-1976,0.534050594,red
CLIC4,hsa-mir-17,0.542279209,red
STK32C,hsa-mir-424,0.770354242,red
ZNF334,hsa-mir-655,0.553270859,red
CDC14A,hsa-mir-141,0.653496931,red
MAFB,hsa-mir-675,0.614202189,red
FHDC1,hsa-mir-132,0.691862144,green
MAN2A2,hsa-mir-326,0.616307534,green
